gene_idx,frame,action_id,action_name,mario_x,mario_y,vel_x,vel_y,float_state,on_ground,delta_x
1,4,4,Right+Jump,40,160,2,-4,1,0,0
2,8,1,Right,41,149,5,-2,1,0,1
3,12,3,Jump,42,145,5,0,1,0,1
4,16,7,Right+Run,44,147,7,1,1,0,2
5,20,9,Right+Jump+Run,46,157,10,3,1,0,2
6,24,1,Right,49,173,12,4,1,0,3
7,28,4,Right+Jump,52,176,14,0,0,1,3
8,32,3,Jump,55,176,12,0,0,1,3
9,36,9,Right+Jump+Run,59,176,16,0,0,1,4
10,40,0,NOOP,62,176,13,0,0,1,3
11,44,7,Right+Run,66,176,17,0,0,1,4
12,48,11,Down,70,176,14,0,0,1,4
13,52,9,Right+Jump+Run,74,160,17,-4,1,0,4
14,56,8,Left+Run,78,149,14,-2,1,0,4
15,60,4,Right+Jump,82,145,17,0,1,0,4
16,64,1,Right,86,147,19,1,1,0,4
17,68,11,Down,91,157,19,3,1,0,5
18,72,11,Down,96,173,19,4,1,0,5
19,76,1,Right,101,176,21,0,0,1,5
20,80,4,Right+Jump,107,160,24,-4,1,0,6
21,84,9,Right+Jump+Run,113,147,24,-4,1,0,6
22,88,1,Right,119,137,24,-2,1,0,6
23,92,9,Right+Jump+Run,125,133,24,-1,1,0,6
24,96,1,Right,131,135,24,1,1,0,6
25,100,2,Left,137,143,22,2,1,0,6
26,104,7,Right+Run,142,157,24,4,1,0,5
27,108,1,Right,148,174,24,4,1,0,6
28,112,4,Right+Jump,154,176,24,0,0,1,6
29,116,9,Right+Jump+Run,161,176,28,0,0,1,7
30,120,7,Right+Run,169,176,31,0,0,1,8
31,124,1,Right,177,176,35,0,0,1,8
32,128,7,Right+Run,186,176,38,0,0,1,9
33,132,11,Down,195,176,35,0,0,1,9
34,136,5,Left+Jump,203,156,32,-5,1,0,8
35,140,9,Right+Jump+Run,212,140,35,-4,1,0,9
36,144,9,Right+Jump+Run,221,126,39,-4,1,0,9
37,148,7,Right+Run,231,117,40,-1,1,0,10
38,152,9,Right+Jump+Run,241,117,40,1,1,0,10
39,156,1,Right,242,125,0,3,1,0,1
40,160,7,Right+Run,242,141,4,4,1,0,0
41,164,9,Right+Jump+Run,244,157,7,4,1,0,2
42,168,9,Right+Jump+Run,246,173,10,4,1,0,2
43,172,9,Right+Jump+Run,249,176,14,0,0,1,3
44,176,9,Right+Jump+Run,253,176,17,0,0,1,4
45,180,9,Right+Jump+Run,258,176,21,0,0,1,5
46,184,2,Left,263,176,17,0,0,1,5
47,188,1,Right,268,176,21,0,0,1,5
48,192,9,Right+Jump+Run,273,160,24,-4,1,0,5
49,196,4,Right+Jump,279,147,24,-4,1,0,6
50,200,1,Right,285,137,24,-2,1,0,6
